Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Loews Regency New York - Tesla Destination,540 Park Ave,,New York,NY,10065,,212-759-4100  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.764608,-73.969355,11/03/2020,115156,2020-11-18 00:06:10,P,,,11/01/2016,J1772 TESLA
ELEC,Robert Moses Park Office,600 Robert Moses State Pkwy,,Babylon,NY,11702,,866-816-7584,E,,Public,24 hours daily,,,1,,,EV Connect,http://evconnect.com/,GPS,40.623340,-73.277629,04/08/2020,123123,2020-04-08 12:29:55,P,,,04/01/2019,J1772
ELEC,Nissan City - Port Chester,225 Boston Post Rd,,Port Chester,NY,10573,,914-937-1777,E,,Public - Call ahead,Dealership business hours,,,1,,,Non-Networked,,200-9,40.996358,-73.669405,06/09/2020,44184,2020-06-09 16:47:26,P,,,11/30/2011,J1772
ELEC,FLEETWOODGARAGE,42 Broad St W,,Mount Vernon,NY,10552,,888-758-4389,E,,Public,24 hours daily,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-9,40.925892,-73.837103,01/23/2021,171343,2021-01-23 00:19:13,,,,,J1772
ELEC,ROCKETSHIPPARK,121 West Broadway Port,STATION 1; Near Public Bathrooms .,Port Jefferson,NY,11777,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.945134,-73.069450,01/23/2021,156297,2021-01-23 00:19:13,,,,,J1772
ELEC,TOWNE BMW,8215 Main St,SERVICEDRIVE OS; Located to the left side of the left rear service door on south side of building.,Williamsville,NY,14221,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.964084,-78.687654,01/23/2021,162446,2021-01-23 00:19:13,,,,,J1772
ELEC,Piermont Village,468 Piermont Ave,,Piermont,NY,10968,,855-900-7584,E,,Public,24 hours daily,,,,1,,Greenlots,http://greenlots.com/,GPS,41.040137,-73.915998,01/23/2021,146924,2021-01-23 01:21:30,,,,,CHADEMO J1772COMBO
ELEC,MUNI PARKIN LOT,5 Chestnut St,VILLAGE GENESEO; Municipal Lot,Geneseo,NY,14454,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.795196,-77.816084,01/23/2021,162362,2021-01-23 00:19:13,,,,,J1772
ELEC,PPC,Point Place Casino 450 St Route 31,STATION 1; Rear parking lotSTATION 2; Rear parking lot,Bridgeport,NY,13030,,888-758-4389,E,,Public,24 hours daily,,,4,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.153646,-75.965958,01/23/2021,162272,2021-01-23 00:19:13,,,,,J1772
ELEC,MTP Parking 41-42 24th Street - Tesla Destination,41-42 24th St,,Long Island City,NY,11101,,347-410-4910  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.751815,-73.941166,11/03/2020,122488,2020-11-18 00:06:10,P,,,03/01/2019,TESLA
ELEC,RTS,Fairport Park & Ride State Route 31F,STJFISHER 1; Parking Lot Entrance off Route 31F. Near bus sheltersSTJFISHER 2; Enter parking lot from Route 31F. Near bus shelters,Pittsford,NY,14618,,888-758-4389,E,,Public,24 hours daily,,,4,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.112196,-77.508090,01/23/2021,168176,2021-01-23 00:19:13,,,,,J1772
ELEC,Town of Elmira,1255 W Water St,,Elmira,NY,14905,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,42.077220,-76.844582,06/09/2020,157947,2020-06-09 16:47:26,P,,,05/15/2020,J1772
ELEC,EVPASS,506 West Embargo Street,R JFKA-1; 1 unit at lot in front of poolhouse at corner of N Jay St,Rome,NY,13440,,888-758-4389,E,,Public,24 hours daily,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.218845,-75.463188,01/23/2021,162514,2021-01-23 00:19:13,,,,,J1772
ELEC,LIA HONDA,4891 Transit Rd,SHOP1; Service Use OnlySHOP2; Rear of building Deal use only,Buffalo,NY,14221,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.980699,-78.696681,01/23/2021,162179,2021-01-23 00:19:13,,,,,J1772
ELEC,Rapidpark 480 Riverside (120th St) - Tesla Destination,480 Riverside Dr,,New York,NY,10027,,212-870-6736  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.811206,-73.963782,11/03/2020,115140,2020-11-18 00:06:10,P,,,11/01/2018,J1772 TESLA
ELEC,GARDEN CHARGERS,1000 Corporate Dr,JOVIA #2; Garden AreaJOVIA #3; Garden AreaJOVIA #4; member Parking 1JOVIA #5; Member Parking 2JOVIA ASD 1; Near loading dock 1,Westbury,NY,11590,,888-758-4389,E,,Public,24 hours daily,,,10,,,ChargePoint Network,http://www.chargepoint.com/,200-9,40.739982,-73.600521,01/23/2021,145671,2021-01-23 00:19:13,,,,,J1772
ELEC,NATIONAL GRID,350 Prospect St,NIAGARA FALLS 1,Niagara Falls,NY,14303,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.086961,-79.065842,01/23/2021,162239,2021-01-23 00:19:13,,,,,J1772
ELEC,One Seneca Ramp,1 Seneca Dr,,Buffalo,NY,14203,,716-849-5812,E,,Public,24 hours daily,,,2,,,Non-Networked,,GPS,42.879878,-78.875574,09/03/2020,104730,2020-09-03 19:35:48,LG,,,04/01/2018,J1772
ELEC,ALBANY COUNTY,839 Kenwood Ave Rail Trail,RAIL TRAIL; In Parking lot for Rail bike trail,Slingerlands,NY,12159,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.629269,-73.863661,01/23/2021,162134,2021-01-23 00:19:13,,,,,J1772
ELEC,ROCHESTER NY,"111 Woodbury Blvd,",WASH SQ GARAGE1WASH SQ GARAGE2,Rochester,NY,14607,,888-758-4389,E,,Public,24 hours daily,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-9,43.152689,-77.604178,01/23/2021,61063,2021-01-23 00:19:13,,,,,J1772
ELEC,MARKET 32 EV,501 Columbia Turnpike,MARKET32 EV EG2; In front of store,Rensselaer,NY,12144,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.607567,-73.720010,01/23/2021,152320,2021-01-23 00:19:13,,,,,J1772
ELEC,Dartmouth House - Tesla Destination,215 Dartmouth St,,Rochester,NY,14607,,585-434-3069  877-798-3752,E,,Public - Call ahead,24 hours daily; for customer use only,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.145078,-77.586462,11/03/2020,150746,2020-11-18 00:06:10,P,,,09/30/2019,TESLA
ELEC,Little Man Parking,220 E 9th St,,Manhattan,NY,10003,,866-816-7584,E,,Public - Credit card at all times,24 hours daily; Also accepts Paypal,A D M V,,6,,,EV Connect,http://evconnect.com/,200-9,40.729483,-73.988368,10/09/2020,166333,2020-10-09 12:41:43,P,,,05/29/2020,J1772
ELEC,BURNS MGT,6203 Johnston Rd,"OXFORD 3; Derbyshire Building, Oxford HeightsOXFORD 4; Derbyshire Building, Oxford HeightsOXFORD 5; Derbyshire building, Oxford Heights",Albany,NY,12203,,888-758-4389,E,,Public,24 hours daily,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.685351,-73.869725,01/23/2021,119018,2021-01-23 00:19:13,,,,,J1772
ELEC,Nissan of New Rochelle,2533 Palmer Ave,,New Rochelle,NY,10801,,914-576-7600,E,,Public - Call ahead,Dealership business hours,,,1,1,,Non-Networked,,200-8,40.919104,-73.776645,06/09/2020,44360,2020-06-09 16:47:26,P,,,11/30/2011,CHADEMO J1772
ELEC,NATIONAL GRID,120 Amsterdam commons,KOHLS AMSTERDAM,Amsterdam,NY,12010,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.964365,-74.189901,01/23/2021,162224,2021-01-23 00:19:13,,,,,J1772
ELEC,MASSENA_EV,21-25 Andrews St,MUNI PARKING; Andrews St Municipal Parking Lot,Massena,NY,13662,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.931757,-74.893984,01/23/2021,162410,2021-01-23 00:19:13,,,,,J1772
ELEC,HYDEPARK,4383 U.S. 9,HYDE PK TOWN HA; Town Hall parking lot,Hyde Park,NY,12538,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.790836,-73.936440,01/23/2021,164503,2021-01-23 00:19:13,,,,,J1772
ELEC,Tazza Cafe,186 Katonah Ave,,Katonah,NY,10536,,877-455-3833,E,,Public,24 hours daily,,,,1,,eVgo Network,https://www.evgo.com/,GPS,41.256656,-73.684266,01/23/2021,170644,2021-01-23 01:19:54,,,,,CHADEMO J1772COMBO
ELEC,GGMC Parking Union Square Parking Garage - Tesla Destination,100 E 15th St,,New York,NY,10003,,212-677-2026  877-798-3752,E,,Public,24 hours daily; see valet for access,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.734817,-73.989198,11/03/2020,114988,2020-11-18 00:06:10,P,,,01/01/2016,J1772 TESLA
ELEC,PARKING GARAGE1,1 Lincoln St,PARKING GARAGE; First floor north,Auburn,NY,13021,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.930293,-76.567186,01/23/2021,162333,2021-01-23 00:19:13,,,,,J1772
ELEC,U OF R,110 Crittenden Blvd,HOSP SEC D BLUE; D blue,Rochester,NY,14620,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.123421,-77.622592,01/23/2021,149920,2021-01-23 00:19:13,,,,,J1772
ELEC,Cafe Crust - Tesla Supercharger,850 County Road 39,,Southampton,NY,11968,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,8,,Tesla,http://www.teslamotors.com/supercharger,200-9,40.891900,-72.427000,08/10/2020,102343,2020-08-27 20:39:12,P,,,06/01/2016,TESLA
ELEC,ADK FOLK SCHOOL,51 Main St,STATION 1,Lake Luzerne,NY,12846,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.320377,-73.841870,01/23/2021,163515,2021-01-23 00:19:13,,,,,J1772
ELEC,1350 EGGERT RD,1350 Eggert Rd,EGGERT (1),Buffalo,NY,14226,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.965328,-78.804684,01/23/2021,154369,2021-01-23 00:19:13,,,,,J1772
ELEC,Rochester General Hospital,1425 Portland Ave,,Rochester,NY,14621,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,43.192906,-77.587022,06/09/2020,123068,2020-06-09 16:47:26,P,,,04/01/2019,J1772
ELEC,Bethpage Associates,99 Quaker Meeting House Rd,,Farmingdale,NY,11735,,866-816-7584,E,,Public,24 hours daily,,,1,,,EV Connect,http://evconnect.com/,GPS,40.741355,-73.455930,04/08/2020,123142,2020-04-08 12:29:55,P,,,04/01/2019,J1772
ELEC,Shops at Main / Transit - Tesla Supercharger,4455  Transit Road,,Buffalo,NY,14221,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,8,,Tesla,http://www.teslamotors.com/supercharger,200-9,42.968700,-78.695700,08/10/2020,102328,2020-08-27 20:39:12,P,,,06/01/2015,TESLA
ELEC,Quik Park 86th St. LLC - Tesla Destination,444 E 86th St,,New York,NY,10028,,212-352-0514  877-798-3752,E,,Public,24 hours daily; for customer use only; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.775975,-73.947732,11/03/2020,115139,2020-11-18 00:06:10,P,,,01/01/2016,J1772 TESLA
ELEC,The Shops at Riverhead,1762 Old Country Rd,,Riverhead,NY,11901,,877-455-3833,E,,Public,24 hours daily,,,,2,,eVgo Network,https://www.evgo.com/,GPS,40.927889,-72.706158,01/23/2021,146590,2021-01-23 01:19:54,,,,,CHADEMO J1772COMBO
ELEC,Belmont Lake State Park,625 Belmont Ave,,West Babylon,NY,11704,,866-816-7584,E,,Public,24 hours daily,,,1,,,EV Connect,http://evconnect.com/,GPS,40.734133,-73.344549,04/08/2020,123124,2020-04-08 12:29:55,SG,,,04/01/2019,J1772
ELEC,MARKET 32 EV,461 Nott St,NOTT ST EV1; Front row adjacent to sliding doorNOTTST EV2; Maxon road entrance to the left.,Schenectady,NY,12308,,888-758-4389,E,,Public,24 hours daily,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.821842,-73.932663,01/23/2021,155617,2021-01-23 00:19:13,,,,,J1772
ELEC,GGMC Parking Alfred - Tesla Destination,161 W 61st St,,New York,NY,10023,,212-397-8949  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.771561,-73.985834,11/03/2020,115027,2020-11-18 00:06:10,P,,,03/01/2017,J1772 TESLA
ELEC,Staten Island Mall - Dave & Buster’s,2655 Richmond Ave,,Staten Island,NY,10314,,888-264-2208,E,,Public,6am-12am daily,,,4,,,Volta,https://voltacharging.com/,GPS,40.582763,-74.167812,10/09/2020,166728,2020-10-09 12:41:43,P,,,08/31/2020,J1772
ELEC,Arcadian Shopping Center - Tesla Supercharger,240 South Highland Avenue,,Ossining,NY,10562,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,12,,Tesla,http://www.teslamotors.com/supercharger,200-9,41.144000,-73.861300,08/10/2020,149341,2020-08-27 20:39:12,P,,,09/30/2019,TESLA
ELEC,TATABROOKFIELD,11 E Loop Rd,"#2; Second charger in parking garage, from ""Parking Customer Exit"" gate.#3; Third charger in parking garage, from ""Parking Customer Exit"" gate.#4; Fourth charger in parking garage, from ""Parking Customer Exit"" gate.#5; 2nd charger from tenant entrance doors#6; Next to tenant entrance#7; Hncp parking stall and near yellow cabinet#8; Near electric panel on the north wall at back of parking garageGATEWAY #1; First charger in parking garage, next to ""Parking Customer Exit"" gate.",New York,NY,10044,,888-758-4389,E,,Public,24 hours daily,,,8,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.755314,-73.955605,01/23/2021,143191,2021-01-23 00:19:13,,,,,J1772
ELEC,RTA,156-20 Riverside Dr W,RIVER TERRACE; For River Terrace garage space owners only,New York,NY,10032,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.835351,-73.947934,01/23/2021,170243,2021-01-23 00:19:13,,,,,J1772
ELEC,Buttermilk Falls Inn & Spa - Tesla Destination,220 North Rd,,Milton,NY,12547,,845-795-1310  877-798-3752,E,,Public,24 hours daily; for customer use only,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.666684,-73.955378,11/03/2020,114977,2020-11-18 00:06:10,P,,,01/01/2016,J1772 TESLA
ELEC,Bob Johnson Chevrolet,1271 W Ridge Rd,,Rochester,NY,14615,,585-663-4040,E,,Public,24 hours daily; for customer use only,,,1,1,,Non-Networked,,200-9,43.203546,-77.661537,03/03/2020,80871,2020-03-03 21:13:47,P,,,01/01/2010,J1772 J1772COMBO
ELEC,TF VALATIE,2424 NY-203,TIERA,Valatie,NY,12184,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.381610,-73.639220,01/23/2021,123655,2021-01-23 00:19:13,,,,,J1772
ELEC,Potter Park,53 W Church St,Entrance on Potter Place,Fairport,NY,14452,,585-223-9500,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,43.098077,-77.446529,06/09/2020,152216,2020-06-09 16:47:26,LG,,,12/27/2019,J1772
ELEC,RPI 1,1525 15th St,OFF CAMPUS S1,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.726645,-73.678464,01/23/2021,121237,2021-01-23 00:19:13,,,,,J1772
ELEC,GGMC Ruppert Car Park - Tesla Destination,245 E 90th St,,New York,NY,10128,,212-722-0188  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.780918,-73.950526,11/03/2020,115066,2020-11-18 00:06:10,P,,,11/01/2018,J1772 TESLA
ELEC,Icon Parking University 10 Parking - Tesla Destination,63  E 9th St,,New York,NY,10003,,212-979-5380  877-798-3752,E,,Public - Call ahead,24 hours daily,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.731544,-73.992045,11/03/2020,115177,2020-11-18 00:06:10,P,,,08/15/2016,J1772 TESLA
ELEC,Saab Sensis,85 Collamer Crossings,,East Syracuse,NY,13057,,,E,,Public,24 hours daily,,,10,,,EV Connect,http://evconnect.com/,200-8,43.102147,-76.049212,04/08/2020,155103,2020-04-08 12:29:55,P,,,02/01/2020,J1772
ELEC,854ELLICOTT,134 Goodrich St,134 HIGH ST 6; -,Buffalo,NY,14203,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.901523,-78.863471,01/23/2021,169908,2021-01-23 00:19:13,,,,,J1772
ELEC,GOLDEN ARROW,2559 Main St,GOLDEN 1.1; Lower parking garage of the golden arrow resort GOLDEN 1.2; Lowest level of car garage underneath the golden arrow resort,Lake Placid,NY,12946,,888-758-4389,E,,Public,24 hours daily,,,4,,,ChargePoint Network,http://www.chargepoint.com/,200-9,44.286410,-73.984480,01/23/2021,169879,2021-01-23 00:19:13,,,,,J1772
ELEC,Kings Nissan,2758 Coney Island Ave,,Brooklyn,NY,11235,,718-376-0538,E,,Public - Call ahead,Dealership business hours; Nissan vehicle use only,,,1,,,Non-Networked,,200-9,40.589167,-73.960707,06/09/2020,44329,2020-06-09 16:47:26,P,,,11/30/2011,J1772
ELEC,CAYUGA STATION,235 S Cayuga St,ALL PRO GARAGE; 3rd floor by elavators,Ithaca,NY,14850,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.437359,-76.498744,01/23/2021,162323,2021-01-23 00:19:13,,,,,J1772
ELEC,EVCHARGE,Taughannock State Park Access Rd,BEACH LOT; Southwest corner of the swimming area parking lot,Trumansburg,NY,14886,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.544649,-76.596445,01/23/2021,162328,2021-01-23 00:19:13,,,,,J1772
ELEC,WARRENCOUNTY,1380 U.S. 9,DPW 5,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.359247,-73.701335,01/23/2021,150255,2021-01-23 00:19:13,,,,,J1772
ELEC,TAPPS,2213 Gerritsen Ave,"KEY FOOD; Intersection of Gerritsen Ave, Knapp St &amp; Avenue U",Brooklyn,NY,11229,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.601595,-73.934604,01/23/2021,162469,2021-01-23 00:19:13,,,,,J1772
ELEC,Rapidpark 600 Columbus Ave - Tesla Destination,100 W 89th,,New York,NY,10024,,212-265-7854  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.788305,-73.971353,09/30/2019,114990,2020-03-02 20:14:21,P,,,11/01/2018,J1772 TESLA
ELEC,del Lago Resort and Casino - Tesla Supercharger,1133 Route 414,,Waterloo,NY,13165,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,8,,Tesla,http://www.teslamotors.com/supercharger,200-8,42.969300,-76.846000,08/10/2020,102349,2020-08-27 20:39:12,P,,,09/01/2017,TESLA
ELEC,VERONA,5390 Willow Pl,LA QUINTA 1; Outside of front entrance of La Quinta hotel LA QUINTA 2; Outside of front entrance of La Quinta hotelLA QUINTA 3; Outside of front entrance of La Quinta hotel,Verona,NY,13478,,888-758-4389,E,,Public,24 hours daily,,,6,,,ChargePoint Network,http://www.chargepoint.com/,200-8,43.122569,-75.594239,01/23/2021,166799,2021-01-23 00:19:13,,,,,J1772
ELEC,Dino's Tailor Shop,2400 Monroe Av,,Rochester,NY,14618,,888-356-8911,E,,Public,24 hours daily,,,1,,,FLO,https://flo.ca/,GPS,43.118929,-77.556073,01/23/2021,152919,2021-01-23 01:30:20,,,,,J1772
ELEC,SAVARINO COMPAN,BRL Parking Lot 2nd from Building 1 South Street,BRL 4; -,Buffalo,NY,14204,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.863697,-78.868064,01/23/2021,164158,2021-01-23 00:19:13,,,,,J1772
ELEC,Standard Parking 2 Metrotech - Tesla Destination,8 Metrotech Ctr S,,Brooklyn,NY,11201,,800-836-6666  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.692919,-73.987193,11/03/2020,114914,2020-11-18 00:06:10,P,,,11/01/2018,J1772 TESLA
ELEC,EMPIRE H-D,8 Industrial Ln,DCFAST HOG,New Rochelle,NY,10805,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.898226,-73.792186,01/23/2021,143319,2021-01-23 00:19:13,,,,,J1772COMBO
ELEC,Chappaqua Metro - North Train Station,108 Allen Pl,Exit 32 off Saw Mill River Parkway,Chappaqua,NY,10514,,914-238-4772  866-816-7584,E,,Public,24 hours daily,,,3,,,EV Connect,http://evconnect.com/,200-8,41.159228,-73.773508,04/08/2020,65273,2020-04-08 12:29:55,SG,,,07/02/2014,J1772
ELEC,Queens Crossing - Tesla Supercharger,136-20 38th Avenue,,Flushing,NY,11354,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,4,,Tesla,http://www.teslamotors.com/supercharger,GPS,40.760900,-73.829800,08/10/2020,153417,2020-08-27 20:39:12,P,,,01/31/2020,TESLA
ELEC,Quikpark 173 W 12th Street - Tesla Destination,173 W 12th St,,New York,NY,10011,,646-336-6225  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.737200,-74.000070,11/03/2020,115032,2020-11-18 00:06:10,P,,,09/01/2017,J1772 TESLA
ELEC,Sylvan Gerard Garage - Tesla Destination,70-25 Yellowstone Blvd,,Forest Hills,NY,11375,,718-793-6773  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.722160,-73.849258,11/03/2020,150639,2020-11-18 00:06:10,P,,,09/30/2019,TESLA
ELEC,Quik Park 32 Debrosses LLC - Tesla Destination,32 Debrosses St,,New York,NY,10013,,212-842-0069  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.723702,-74.010335,11/03/2020,115093,2020-11-18 00:06:10,P,,,01/01/2016,J1772 TESLA
ELEC,NY STATE PARKS,Lake Taghkanic Rd,LAKE TAGHKANIC; Lot by Beach Swimming Area - Park open sunrise to sunset.,Ancram,NY,12502,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.090954,-73.720052,01/23/2021,120821,2021-01-23 00:19:13,,,,,J1772
ELEC,Park Kwik - 211 Atlantic - Tesla Destination,211 Atlantic Ave,,Brooklyn,NY,11201,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.689671,-73.991786,11/03/2020,169009,2020-11-18 00:06:10,P,,,11/03/2020,J1772 TESLA
